job_id,title,company,description,location_raw,district,province,salary_raw,salary_min,salary_max,salary_currency,sector,experience_raw,experience_min_years,experience_max_years,experience_level,employment_type,work_mode,date_posted,date_scraped,source,is_graduate_friendly,skills_json,qualifications_json
1,Medical Officer,Hemas Hospitals,"We are looking for a Medical Officer to join Hemas Hospitals in Colombo. Requirements: Pharmacy, English, Communication. Experience: 3-6 years.",Colombo,Colombo,Western,"LKR 205,000 - 250,000",205000.0,250000.0,LKR,Healthcare,3-6 years,3,6,mid,Full-time,onsite,2025-12-20,2026-05-14 10:58:36.112006,dreamjobs,0,"[""Pharmacy"", ""English"", ""Communication""]",[]
2,Mobile Developer,DirectFN,"We are looking for a Mobile Developer to join DirectFN in Gampaha. Requirements: Java, Angular, SQL, React. Experience: 5-6 years.",Gampaha,Gampaha,Western,"LKR 75,000 - 92,000",75000.0,92000.0,LKR,Information Technology,5-6 years,5,6,senior,Full-time,onsite,2026-03-09,2026-05-14 10:58:36.112086,topjobs,0,"[""Java"", ""Angular"", ""SQL"", ""React""]",[]
3,Branch Manager,NSB,"We are looking for a Branch Manager to join NSB in Batticaloa. Requirements: Excel, SQL, CIMA, ACCA, IFRS, SAP, Power BI. Experience: Fresh/Entry Level.",Batticaloa,Batticaloa,Eastern,"LKR 233,000 - 284,000",233000.0,284000.0,LKR,Banking & Financial Services,Fresh/Entry Level,0,2,entry,Internship,hybrid,2026-03-12,2026-05-14 10:58:36.112138,linkedin,1,"[""Excel"", ""SQL"", ""CIMA"", ""ACCA"", ""IFRS"", ""SAP"", ""Power BI""]",[]
4,Environmental Officer,Sri Lanka Customs,"We are looking for a Environmental Officer to join Sri Lanka Customs in Gampaha. Requirements: Communication, English, Sinhala, MBA, A/L Qualified, Budgeting, BSc, Tamil. Experience: 2-5 years.",Gampaha,Gampaha,Western,,,,LKR,Government & Public Sector,2-5 years,2,5,junior,Full-time,hybrid,2026-02-16,2026-05-14 10:58:36.112180,dreamjobs,0,"[""Communication"", ""English"", ""Sinhala"", ""MBA"", ""A/L Qualified"", ""Budgeting"", ""BSc"", ""Tamil""]",[]
5,Database Administrator,Virtusa,"We are looking for a Database Administrator to join Virtusa in Colombo. Requirements: Angular, Java, Linux, CI/CD, PostgreSQL, AWS, Git, React. Experience: 1-2 years.",Colombo,Colombo,Western,"LKR 261,000 - 319,000",261000.0,319000.0,LKR,Information Technology,1-2 years,1,2,junior,Internship,remote,2025-11-23,2026-05-14 10:58:36.112224,topjobs,1,"[""Angular"", ""Java"", ""Linux"", ""CI/CD"", ""PostgreSQL"", ""AWS"", ""Git"", ""React""]",[]
6,Process Engineer,ACL Cables,"We are looking for a Process Engineer to join ACL Cables in Ampara. Requirements: AutoCAD, Six Sigma, Electrical Engineering, Quality Control. Experience: 2-3 years.",Ampara,Ampara,Eastern,"LKR 82,000 - 100,000",82000.0,100000.0,LKR,Manufacturing,2-3 years,2,3,junior,Contract,remote,2026-02-25,2026-05-14 10:58:36.112268,topjobs,0,"[""AutoCAD"", ""Six Sigma"", ""Electrical Engineering"", ""Quality Control""]",[]
7,Farm Manager,Bogawantalawa Tea,"We are looking for a Farm Manager to join Bogawantalawa Tea in Mannar. Requirements: Quality Control, BSc, Communication, Statistical Analysis, Excel. Experience: 3-6 years.",Mannar,Mannar,Northern,"LKR 63,000 - 77,000",63000.0,77000.0,LKR,Agriculture,3-6 years,3,6,mid,Contract,onsite,2025-11-17,2026-05-14 10:58:36.112307,topjobs,0,"[""Quality Control"", ""BSc"", ""Communication"", ""Statistical Analysis"", ""Excel""]",[]
8,Civil Engineer,Link Engineering,"We are looking for a Civil Engineer to join Link Engineering in Matara. Requirements: BSc, Civil Engineering, SolidWorks, AutoCAD, Project Management. Experience: 3-6 years.",Matara,Matara,Southern,"LKR 255,000 - 312,000",255000.0,312000.0,LKR,Construction & Engineering,3-6 years,3,6,mid,Full-time,onsite,2026-03-24,2026-05-14 10:58:36.112345,topjobs,0,"[""BSc"", ""Civil Engineering"", ""SolidWorks"", ""AutoCAD"", ""Project Management""]",[]
9,Frontend Developer,Dialog Axiata,"We are looking for a Frontend Developer to join Dialog Axiata in Colombo. Requirements: AWS, Kubernetes, Linux, Scrum. Experience: Fresh/Entry Level.",Colombo,Colombo,Western,"LKR 109,000 - 133,000",109000.0,133000.0,LKR,Information Technology,Fresh/Entry Level,0,2,entry,Internship,remote,2026-01-15,2026-05-14 10:58:36.112384,topjobs,1,"[""AWS"", ""Kubernetes"", ""Linux"", ""Scrum""]",[]
10,Warehouse Manager,Delmege Forsyth,"We are looking for a Warehouse Manager to join Delmege Forsyth in Nuwara Eliya. Requirements: Production Planning, Electrical Engineering, Quality Control, Maintenance Management, Mechanical Engineering, AutoCAD, Lean Manufacturing. Experience: 1-4 years.",Nuwara Eliya,Nuwara Eliya,Central,,,,LKR,Manufacturing,1-4 years,1,4,junior,Full-time,onsite,2026-05-10,2026-05-14 10:58:36.112420,dreamjobs,0,"[""Production Planning"", ""Electrical Engineering"", ""Quality Control"", ""Maintenance Management"", ""Mechanical Engineering"", ""AutoCAD"", ""Lean Manufacturing""]",[]
